Card Name	Link	Quote attribution	Quote	Citation	Extra notes	Framing Issue	Damage Issue	Color Issue	Upscaled?	Working on	Proposed change location in drive	Art Pass Finished
Archer	https://upload.wikimedia.org/wikipedia/commons/c/cd/Hendrick_Joseph_Dillens_-_Archer_the_Winner_-_WGA06348.jpg	Andrew	\`Please just a little more^! This dream is too sweet for\rwaking^!\` Didn't you know all dreams end?	N/A	Muppet Christmas Carol: Scrooge's Grave - YouTube	 	 	 	x	 		1
Archer2	https://upload.wikimedia.org/wikipedia/commons/4/48/George_Douglas%2C_16th_Earl_of_Morton_%281761-1827%29_by_William_Beechey%2C_%28Burford%2C_Oxforshire_1753-1839_London%29.jpg	robin hood	\`He was a good outlaw, and did poor men much\rgood.\`	https://www.sacred-texts.com/neu/eng/child/ch117.htm	https://en.wikipedia.org/wiki/Ghost_of_Christmas_Yet_to_Come#:~:text=The%20Spirit%20stood%20among%20the%20graves	 	 	 	x	 		1
Armada	https://upload.wikimedia.org/wikipedia/commons/2/2a/Battle_of_Scheveningen_%28Slag_bij_Ter_Heijde%29%28Jan_Abrahamsz._Beerstraten%29.jpg	King James Bible	I will make thee a terror, and thou shall be no more:\rthough sought for, thou shall never be found again.	https://www.kingjamesbibleonline.org/Ezekiel-26-21/	The Spirit stood among the graves, and pointed down to One, Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name	shift up	 	 	x	 		1
Armada2	https://upload.wikimedia.org/wikipedia/commons/c/cc/Spanish_Armada.jpg	Andrew	\`And they called it a fleet... Ha^! Nothing more than\ra heap of ash and squandered silver.\`	N/A		shift up?	 	 	x	 		1
Assassin	Andrew Wollack	Ceasar	\`Et tu brute?\`	original quotation		shift left?	 	 	x	 		1
Assault	https://upload.wikimedia.org/wikipedia/commons/3/3f/%D0%A4%D1%80%D0%B0%D0%BD%D1%86_%D0%A0%D1%83%D0%B1%D0%BE_-_%D0%A8%D1%82%D1%83%D1%80%D0%BC_%D0%93%D0%B8%D0%BC%D1%80%D0%BE%D0%B2_17_%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8F_1832_%D0%B3.jpg	Mozart	Doomed to flames of woe;\rOur lady of sorrows.	https://en.wikipedia.org/wiki/Dies_irae#:~:text=When%20the%20wicked%20are%20confounded%2C%0ADoomed%20to%20flames%20of%20woe%20unbounded%2C			 	 	x	 		1
Assault2	https://upload.wikimedia.org/wikipedia/commons/1/1f/Suchodolski_Assault_on_Saragossa.jpg	Shakespear (Julius Caesar)	A brave man dies but once,\rA coward daily.	William Shakespeare, Julius Caesar		shift up?	 	 	x	 		1
Assault3	1310_Rhodes.jpg (2884×2138) (wikimedia.org)	Gospel of thomas written ~100 years after mark discovered in the 40's	The Kingdom of Heaven is spread out over the earth,\rand men cannot see it.	https://www.gospels.net/thomas#:~:text=Father%27s%20kingdom%20is%20already%20spread%20out%20over%20the%20earth%2C%20and%20people%20don%27t%20see%20it.%22		 	 	 	x	 		1
Bowman	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Portrait_of_a_Man_Holding_a_Crossbow.jpg/640px-Portrait_of_a_Man_Holding_a_Crossbow.jpg	Andrew	They said he could hit an apple off her head,\rbut she was rude and he was peckish.	N/A		 	blurry?	 	x			1
Bowman2	https://upload.wikimedia.org/wikipedia/commons/8/8b/Auguste_Serrure_-_The_victory_of_the_crossbow_shooter.jpg	Andrew	Tick Tick Tick, Clunk, Thwap, Bullseye^!	N/A		 	 	 	x			1
